Id;Nome;Colore;ProprietarioId;CasaId;NumeroNote;CreatedAt;CreatedBy;IsDeleted
75FF169C-E1D1-463D-9641-067ADD083120;Bevande;#98D8C8;B70223AE-4ACF-40A6-BD5E-A0F6C573B555;758248DE-B518-4E6E-8136-39BF6BC795E1;1;2025-10-22 12:32:29.2488181;B70223AE-4ACF-40A6-BD5E-A0F6C573B555;0
909BE581-F6C5-4D76-A6DB-0D3065F6BECC;Contorni;#95E1D3;B70223AE-4ACF-40A6-BD5E-A0F6C573B555;758248DE-B518-4E6E-8136-39BF6BC795E1;0;2025-10-22 12:18:02.7726422;B70223AE-4ACF-40A6-BD5E-A0F6C573B555;0
F4F2AAD2-1155-43B5-8DE9-1709871D1887;Primi;#FF6B6B;B70223AE-4ACF-40A6-BD5E-A0F6C573B555;758248DE-B518-4E6E-8136-39BF6BC795E1;3;2025-10-22 12:18:02.7726422;B70223AE-4ACF-40A6-BD5E-A0F6C573B555;0
3B1F852C-536D-4619-8D12-3E4E9CEDEB0F;Colazione;#FF6B6B;B70223AE-4ACF-40A6-BD5E-A0F6C573B555;758248DE-B518-4E6E-8136-39BF6BC795E1;3;2026-01-13 20:01:41.4005760;B70223AE-4ACF-40A6-BD5E-A0F6C573B555;0
44974AAE-4025-4A34-BC0A-467083623858;Snack;#FFD3B6;B70223AE-4ACF-40A6-BD5E-A0F6C573B555;758248DE-B518-4E6E-8136-39BF6BC795E1;0;2025-10-22 12:18:02.7726422;B70223AE-4ACF-40A6-BD5E-A0F6C573B555;0
FE37D399-52A1-448E-AAE3-7E3A973D582A;Dolci;#FFE66D;B70223AE-4ACF-40A6-BD5E-A0F6C573B555;758248DE-B518-4E6E-8136-39BF6BC795E1;10;2025-10-22 12:18:02.7726422;B70223AE-4ACF-40A6-BD5E-A0F6C573B555;0
CDD55EB6-FA27-4DE0-BD83-A8E0493C9DD3;Piatti unici;#FF8B94;B70223AE-4ACF-40A6-BD5E-A0F6C573B555;758248DE-B518-4E6E-8136-39BF6BC795E1;0;2025-10-22 12:18:02.7726422;B70223AE-4ACF-40A6-BD5E-A0F6C573B555;0
6D18662C-0D4A-465F-BA9D-C0DA2156C141;Pane e lievitati;#F7DC6F;B70223AE-4ACF-40A6-BD5E-A0F6C573B555;758248DE-B518-4E6E-8136-39BF6BC795E1;2;2025-10-22 10:46:04.8116728;B70223AE-4ACF-40A6-BD5E-A0F6C573B555;0
B9D2128E-B701-4279-B419-C30CE992601E;Secondi;#4ECDC4;B70223AE-4ACF-40A6-BD5E-A0F6C573B555;758248DE-B518-4E6E-8136-39BF6BC795E1;3;2025-10-22 12:18:02.7726422;B70223AE-4ACF-40A6-BD5E-A0F6C573B555;0
C27FC663-7BD8-406F-8F64-C85C552E871B;Liquori;#A8E6CF;B70223AE-4ACF-40A6-BD5E-A0F6C573B555;758248DE-B518-4E6E-8136-39BF6BC795E1;2;2025-10-22 12:18:02.7726422;B70223AE-4ACF-40A6-BD5E-A0F6C573B555;0
03985ACF-0DC4-4793-9A8A-EB7943F6FB0C;Condimenti;#FFAAA5;B70223AE-4ACF-40A6-BD5E-A0F6C573B555;758248DE-B518-4E6E-8136-39BF6BC795E1;0;2025-10-22 12:18:02.7726422;B70223AE-4ACF-40A6-BD5E-A0F6C573B555;0
